team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
CIN,2026,5,J.Burrow,QB,rush_attempts_qb,QB,1,0,41.4,"CLOSER -- SMALL ROLE, BIG MOMENTS",66.6,28.4,29.1,50.0,5.6,5,49,0.102,0.0345,0.2,0.1655,4,18,3.17,19
CIN,2026,6,J.Chase,WR,targets,WR,1,-1,37.9,ROTATIONAL CONTRIBUTOR,43.5,14.2,57.1,33.3,38.1,13,65,0.2,0.225,0.16,-0.065,2,18,9.67,87
CIN,2026,7,S.Perine,RB,rush_attempts,RB,2,0,34.3,ROTATIONAL CONTRIBUTOR,45.5,7.1,40.8,50.0,25.9,7,49,0.1429,0.1724,0.1,-0.0724,1,18,6.55,72
CIN,2026,8,E.All,TE,targets,TE,3,1,30.8,INSUFFICIENT SAMPLE,50.0,0.0,27.7,66.7,2.1,3,31,0.0968,0.15,0.0,-0.15,,,2.5,5
CIN,2026,9,D.Meyers,WR,targets,WR,4,0,30.2,INSUFFICIENT SAMPLE,50.5,0.0,8.8,50.0,44.1,2,65,0.0308,0.025,0.04,0.015,,,14.0,28
CIN,2026,10,D.Sample,TE,targets,TE,2,-1,29.4,INSUFFICIENT SAMPLE,49.0,7.1,25.2,33.3,18.0,3,34,0.0882,0.1,0.0714,-0.0286,1,18,6.33,19
CIN,2026,11,T.Hudson,TE,targets,TE,5,1,27.4,INSUFFICIENT SAMPLE,50.0,0.0,8.4,66.7,5.9,1,34,0.0294,0.05,0.0,-0.05,,,4.0,4
CIN,2026,12,C.Young,WR,targets,WR,3,-2,22.8,INSUFFICIENT SAMPLE,50.0,0.0,9.2,16.7,16.4,1,31,0.0323,0.05,0.0,-0.05,,,7.0,7
CLE,2026,1,D.Boston,WR,targets,WR,1,0,60.1,PRIMARY -- TRUSTED UNDER PRESSURE,69.5,38.0,60.4,50.0,83.5,11,52,0.2115,0.1622,0.3333,0.1712,2,10,22.0,154
CLE,2026,2,Q.Judkins,RB,rush_attempts,RB,1,0,48.1,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,17.5,61.6,100.0,50.0,21.8,24,39,0.6154,0.7083,0.4667,-0.2417,3,10,3.16,98
